	SALARY	EDUC	SALBEGIN	GENDER	MINORITY	JOBCAT
81	24750	12	14250	0	1	1
82	22950	12	11250	0	1	1
83	25050	8	10950	0	1	1
84	25950	15	17100	1	0	1
85	31650	15	15750	1	0	1
86	24150	12	14100	1	0	1
87	72500	19	28740	1	0	3
88	68750	19	27480	1	0	3
89	16200	8	9750	0	0	1
90	20100	12	11250	0	0	1
91	24000	8	10950	0	0	1
92	25950	12	10950	0	0	1
93	24600	12	10050	0	0	1
94	28500	12	10500	0	0	1
95	30750	8	15000	1	1	2
96	40200	17	19500	1	1	1
97	30000	8	15000	1	1	2
98	22050	12	10950	0	1	1
99	78250	18	27480	1	0	3
100	60625	16	22500	1	0	3
101	39900	14	15750	1	0	1
102	97000	19	35010	1	0	3
103	27450	15	15750	1	0	1
104	31650	15	13500	1	0	1
105	91250	19	29490	1	0	3
106	25200	12	14400	0	0	1
107	21000	12	11550	0	0	1
108	30450	12	15000	1	1	1
109	28350	15	18000	1	1	1
110	30750	12	9000	1	1	2
111	30750	12	15000	1	1	2
112	54875	16	27480	1	0	3
113	37800	14	16500	1	0	1
114	33450	15	14100	1	0	1
115	30300	15	16500	1	0	1
116	31500	12	18750	0	0	1
117	31650	12	14250	0	0	1
118	25200	12	14100	0	0	1
119	37800	16	15750	0	0	3
120	18750	15	10500	0	0	1
121	32550	15	13500	0	0	1
122	33300	12	15000	0	0	1
123	38550	16	16500	0	0	1
124	27450	12	15000	1	1	1
125	24300	15	15000	1	1	2
126	30750	12	15000	1	1	2
127	19650	12	9750	0	1	1
128	68750	17	27510	1	0	3
129	59375	20	30000	1	0	3
130	31500	15	15750	1	0	1
131	27300	12	17250	1	0	1
132	27000	15	15750	1	0	1
133	41550	16	24990	0	0	3
134	26250	12	10950	0	0	1
135	22200	12	15000	1	0	1
136	65000	21	37500	1	0	3
137	30900	12	15000	1	0	1
138	20100	8	13200	0	0	1
139	22350	12	13500	0	0	1
140	35550	15	13350	0	0	1
141	28500	12	13950	0	0	1
142	24450	12	13200	0	0	1
143	16650	8	9750	0	0	1
144	26700	12	13500	1	1	1
145	43950	18	23250	1	1	1
146	23700	15	13500	1	1	1
147	26550	15	14250	0	1	1
148	27600	12	15000	1	0	1
149	25800	12	15000	1	0	1
150	42300	16	26250	1	0	3
151	30750	8	15000	1	0	2
152	26700	12	12900	0	0	1
153	20850	12	12000	0	0	1
154	35250	15	15000	1	1	1
155	26700	15	15000	1	1	1
156	26550	12	13050	0	1	1
157	27750	12	12000	0	1	1
158	25050	16	12750	0	1	1
159	66000	16	47490	1	0	3
160	52650	16	19500	1	0	1
161	45625	16	23250	1	0	3
162	30900	15	15000	1	0	1
163	29400	15	16500	0	0	1
164	33300	15	13500	0	0	1
165	21900	12	9750	0	0	1
166	18150	12	9750	0	0	1
167	46875	16	17250	0	0	3
168	25500	12	14400	1	1	1
169	26550	12	15000	1	1	1
170	26700	12	13500	1	1	1
171	29850	15	15000	0	1	1
172	69250	20	42480	1	0	3
173	31950	8	15000	1	0	2
174	26250	8	15600	1	0	1
175	35700	16	17250	0	0	1
176	28500	12	16500	0	0	1
177	17100	12	10200	0	0	1
178	25200	12	13050	1	1	1
179	24000	12	12750	0	1	1
180	27450	12	10200	0	1	1
181	18450	12	10200	0	1	1
182	39300	15	15750	1	0	1
183	38850	15	15000	1	0	1
184	30750	8	15000	1	0	2
185	37500	15	20400	1	0	1
186	58750	16	21750	1	0	3
187	34500	12	18750	0	0	1
188	36000	12	19980	0	0	1
189	29100	8	16500	0	0	1
190	16500	12	10200	0	0	1
191	19650	12	12750	1	1	1
192	24750	12	12000	0	1	1
193	27150	15	15750	0	1	1
194	26400	12	12750	0	1	1
195	23100	16	12000	0	1	1
196	54900	15	25500	1	0	3
197	70875	19	43500	1	0	3
198	51250	16	27480	1	0	3
199	67500	17	34980	1	0	3
200	29340	12	19500	1	0	1
201	39600	15	16500	1	0	1
202	29100	12	15000	1	0	1
203	33150	15	16500	1	0	1
204	66750	16	52500	1	0	3
205	33750	12	15000	1	0	2
206	27300	15	17250	1	0	1
207	24000	12	11250	0	0	1
208	19800	8	10200	0	0	1
209	30600	15	16500	1	1	1
210	28950	15	15000	1	1	1
211	38400	15	16500	1	1	1
212	30750	8	15000	1	1	2
213	20400	12	10950	0	1	1
214	19200	12	11100	0	1	1
215	30150	15	15750	1	0	1
216	34620	16	27750	1	0	1
217	80000	15	15750	1	0	1
218	25350	12	15000	1	0	1
219	29850	12	15750	1	0	1
220	24000	12	13800	0	0	1
221	27750	15	19500	0	0	1
222	22350	8	10200	0	0	1
223	16200	12	10200	0	0	1
224	21900	15	12750	0	0	1
225	23250	16	15750	0	0	1
226	33900	12	12000	0	0	1
227	25650	15	14250	0	0	1
228	17250	12	10200	0	0	1
229	22500	15	15000	1	1	1
230	40200	16	21000	1	0	3
231	55500	19	33750	1	0	3
232	26550	15	15000	1	0	1
233	50550	15	19500	1	0	1
234	75000	19	31500	1	0	3
235	27450	8	12000	0	0	1
236	22650	12	11250	0	0	1
237	27300	12	11250	0	0	1
238	27750	12	11225	0	0	1
239	54375	16	18750	0	0	3
240	17400	8	10200	0	0	1
241	40800	12	18000	0	0	1
242	23100	12	10950	0	0	1
243	22500	8	10950	0	0	1
244	26700	12	11550	0	0	1
245	24900	12	11250	0	0	1
246	19650	12	10950	0	0	1
247	22050	12	10950	0	0	1
248	25500	12	12000	0	0	1
249	28200	15	12750	0	0	1
250	23100	12	11250	0	0	1
251	25500	12	11400	1	1	1
252	17100	8	10200	0	1	1
253	68125	18	32490	1	0	3
254	30600	12	15750	1	0	2
255	52125	19	27480	1	0	3
256	61875	19	36750	1	0	3
257	21300	8	11550	1	0	1
258	19650	12	11250	0	0	1
259	22350	12	11250	0	0	1
260	23400	12	11250	0	0	1
261	24300	12	10950	0	0	1
262	28500	12	11250	0	0	1
263	19950	12	11250	0	0	1
264	23400	12	11250	0	0	1
265	34500	16	17250	0	0	1
266	18150	12	10950	0	0	1
267	22350	12	15000	1	1	1
268	40200	15	17250	1	0	1
269	28650	15	18000	1	0	1
270	27750	15	16500	1	0	1
271	66875	18	31980	1	0	1
272	30000	12	15750	1	0	2
273	83750	16	21750	1	0	3
274	33900	12	16500	1	0	1
275	56500	16	21000	1	0	3
276	43000	16	17490	0	0	3
277	20850	8	12000	0	0	1
278	24450	12	12000	0	0	1
279	24750	12	10950	0	0	1
280	34500	8	15750	1	1	2
281	27900	14	15000	1	1	1
282	68125	19	32010	1	0	3
283	73500	19	33000	1	0	3
284	30750	8	15750	1	0	2
285	40050	15	25500	1	0	3
286	40350	16	19500	1	0	1
287	38700	15	23730	1	0	3
288	65000	17	30750	1	0	3
289	51450	18	36240	1	0	3
290	35250	12	15750	1	0	2
291	25950	14	15000	1	0	1
292	25050	15	14250	1	0	1
293	26700	12	12750	1	0	1
294	24000	8	15750	1	0	1
295	26850	12	15000	1	0	1
296	23400	12	15300	0	0	1
297	24600	12	13500	0	0	1
298	32550	15	18000	0	0	1
299	26550	16	15000	1	1	1
300	31500	12	13500	1	1	1
301	22350	8	15000	1	1	1
302	35250	12	15750	1	1	2
303	25800	15	13500	0	1	1
304	30750	12	15750	1	0	2
305	30750	15	16500	1	0	1
306	50000	16	32490	1	0	3
307	34500	15	18000	1	0	1
308	26250	15	15750	1	0	1
309	44875	16	21240	1	0	1
310	22500	12	12000	0	0	1
311	25650	12	14250	0	0	1
312	21300	12	11250	0	0	1
313	29850	12	13500	0	0	1
314	34500	12	12150	0	0	1
315	27750	15	15000	1	1	1
316	27750	12	11550	1	1	1
317	48750	16	21990	1	0	3
318	43410	15	15750	1	0	1
319	22050	12	15000	1	0	1
320	22050	12	12000	0	0	1
321	22500	12	14250	0	0	1
322	25500	15	12000	0	0	1
323	29160	12	15000	0	0	1
324	16800	8	10200	0	0	1
325	29550	8	15750	1	1	2
326	26700	12	15750	1	1	1
327	55000	18	32490	1	0	3
328	62500	18	34980	1	0	3
329	27300	15	17250	1	0	1
330	24450	12	12000	0	0	1
331	33000	16	18000	0	0	1
332	37050	15	18000	0	0	1
333	24450	12	10950	0	1	1
334	31950	8	15750	1	0	2
335	47250	16	21240	1	0	3
336	26100	12	11550	0	0	1
337	15900	8	10200	0	0	1
338	23700	8	10650	0	0	1
339	21750	8	12450	0	0	1
340	59400	12	33750	1	1	3
341	24450	12	14250	0	1	1
342	103500	16	60000	1	0	3
343	35700	12	16500	1	0	1
344	22200	12	16500	0	0	1
345	22950	15	13950	0	0	1
346	23100	12	12000	0	0	1
347	56750	16	30000	0	0	3
348	29100	17	12750	0	0	1
349	37650	12	15750	0	0	1
350	27900	12	13500	0	0	1
351	21150	8	12000	0	0	1
352	31200	12	15750	1	1	2
353	20550	12	11250	0	1	1
354	25950	15	17250	1	0	1
355	28350	15	15000	1	0	1
356	17700	8	10200	0	0	1
357	23550	15	13500	0	0	1
358	19950	12	10200	0	0	1
359	29400	12	15300	0	0	1
360	28800	12	13950	0	0	1
361	16950	8	10200	0	0	1
362	35700	16	18000	1	1	1
363	17400	12	10200	0	1	1
364	21450	8	10200	0	1	1
365	24750	12	12000	0	1	1
366	16950	12	10200	0	1	1
367	26100	12	13500	0	1	1
368	28050	14	15000	1	0	1
369	36600	16	18000	0	0	1
370	58125	16	18000	0	0	3
371	21300	15	15750	1	0	1
372	22500	12	16500	1	0	1
373	29400	15	15750	1	0	1
374	27450	12	14700	1	0	1
375	29850	15	15750	1	0	1
376	25350	15	15750	1	0	1
377	15750	8	10200	0	0	1
378	19650	8	13050	0	0	1
379	21000	12	13500	0	0	1
380	27000	17	18000	1	1	1
381	24000	12	15750	1	1	1
382	78500	17	28740	1	1	3
383	20850	12	13050	0	1	1
384	30000	12	15750	1	0	2
385	28500	8	15750	1	0	2
386	65000	19	31980	1	0	3
387	30150	14	16500	1	0	1
388	66875	19	32490	1	0	3
389	24150	15	13500	0	0	1
390	24450	12	12450	0	0	1
391	21600	12	12000	0	0	1
392	27900	12	12450	0	0	1
393	29100	8	12450	0	0	1
394	22650	12	11250	0	0	1
395	20850	12	11250	0	0	1
396	22950	12	12300	0	0	1
397	30600	12	12450	0	0	1
398	20400	12	11250	0	0	1
399	23850	12	12750	0	0	1
400	22800	12	11250	0	0	1
401	20700	12	11250	0	0	1
402	21300	12	11250	0	1	1
403	24300	12	15000	0	1	1
404	19650	12	13950	0	1	1
405	60000	17	32490	1	0	3
406	30300	15	15750	1	0	1
407	61250	19	33000	1	0	3
408	36000	19	19500	1	0	1
409	25200	8	18750	0	0	1
410	16200	12	10200	0	0	1
411	22800	12	11250	0	0	1
412	43500	16	19500	0	0	3
413	30300	8	15750	1	1	2
414	31950	15	15750	1	1	1
415	35250	15	13500	1	0	1
416	37800	15	15000	1	0	1
417	31200	15	15750	1	0	1
418	29400	15	16500	1	0	1
419	70000	19	35040	1	0	3
420	33900	15	15750	1	0	1
421	27150	15	16500	1	0	1
422	22200	12	13800	0	0	1
423	31350	15	11100	0	0	1
424	20850	12	13500	0	0	1
425	33300	16	17490	1	1	1
426	26250	8	16050	1	1	1
427	31950	15	15750	1	1	1
428	30000	8	15750	1	1	2
429	66250	19	34980	1	1	3
430	86250	18	45000	1	0	3
431	30750	12	15000	1	0	1
432	33540	12	15750	1	0	1
433	34950	16	20250	1	0	1
434	40350	15	16500	1	0	1
435	30270	12	15750	1	0	1
436	26250	8	16050	1	0	1
437	32400	15	15000	1	0	1
438	20400	12	11250	0	0	1
439	24150	8	12750	0	0	1
440	23850	15	13500	0	0	1
441	29700	12	13500	0	0	1
442	21600	8	13500	0	0	1
443	24450	12	15750	0	0	1
444	28050	15	16500	1	1	1
445	100000	16	44100	1	1	3
446	49000	15	20550	1	1	1
447	16350	12	10200	0	1	1
448	70000	16	21750	1	0	3
449	55000	19	34980	1	0	3
450	28500	15	14250	1	0	1
451	28800	12	18000	1	0	1
452	24450	15	15750	1	0	1
453	90625	19	31250	1	0	3
454	43650	16	19500	1	0	3
455	75000	19	42510	1	0	3
456	31650	15	14250	1	0	1
457	61875	19	28740	1	0	3
458	21750	12	11250	0	0	1
459	22500	12	12750	0	0	1
460	21600	8	13500	0	0	1
461	34410	16	19500	0	0	3
462	20700	15	14250	0	0	1
463	47550	19	33000	1	0	3
464	33900	12	16500	1	0	1
465	23400	12	13500	0	0	1
466	32850	16	19500	0	0	1
467	55750	16	19980	0	0	3
468	25200	15	13950	0	0	1
469	26250	12	15750	1	1	1
470	26400	15	15750	1	1	1
471	39150	15	15750	1	0	1
472	21450	12	12750	0	0	1
473	29400	12	14250	0	0	1
